Name,pearsonr,pearsonr_recal,ISI,precision
callibrate_0315_201320_PM_recal,"[0.5770130245536444, 5.551000547628078e-192]","[0.4875441775707198, 2.293453512201879e-129]",0.016762924707801028,1.969867687319259
callibrate_0315_220321_PM_recal,"[0.6252381413587009, 4.061803956070539e-233]","[0.16831714807703918, 4.2004441763623755e-15]",0.01677028649386086,0.9921033886529868
callibrate_0310_115719_AM_recal,"[0.13493308608426602, 6.848784229549397e-10]","[0.1976662936273028, 1.0244489753151035e-19]",0.01730556637907035,0.6575538025857325
callibrate_0310_172629_PM_recal,"[0.2970417360104078, 3.2703689225689415e-45]","[0.18234011973696534, 1.3747090988568364e-17]",0.01677100897470768,2.018516229562491
callibrate_0312_125932_PM_recal,"[0.5754904024290546, 9.476653028331907e-191]","[0.5776726764621991, 1.6161681543654999e-192]",0.016728344640434194,1.3916219782702408
callibrate_0310_195059_PM_recal,"[0.01064030910340392, 0.6208100895291874]","[0.08338959385732415, 0.0001028749063899135]",0.016730548019533362,1.2527791597896747
callibrate_0315_162042_PM_recal,"[0.4917279234523101, 6.78367614165648e-132]","[0.4283549952063517, 4.0717762364431107e-97]",0.01676075502444325,1.1422212936815639
callibrate_0313_084216_AM_recal,"[0.27342957255916644, 4.5055636263188056e-38]","[0.18762941377020342, 1.940101865418368e-18]",0.016762636462882077,1.396583228064695
callibrate_0311_205236_PM_recal,"[0.14322856227794573, 2.5809522147027552e-11]","[0.030629449138656645, 0.1558771458601901]",0.016726594005449593,1.6318503046605448
callibrate_0312_123108_PM_recal,"[-0.5021470519972142, 2.83490235656374e-137]","[-0.3287309107076574, 3.550552860672872e-55]",0.01675226652102677,1.6795566059245495
callibrate_0312_145033_PM_recal,"[0.39555612289125464, 7.965774197581268e-100]","[0.32823324789232133, 1.6779844662995385e-67]",0.01480986321094312,1.7447370881133475
callibrate_0312_153156_PM_recal,"[-0.12293420314357591, 1.1706405153317496e-08]","[0.4462351183445338, 3.508160807040813e-105]",0.016763395297977077,2.3199564304345457
callibrate_0313_131653_PM_recal,"[0.2565738097340392, 7.125283493897241e-34]","[0.07193492885354069, 0.0008118201570296357]",0.01672785772468095,1.3155378163545624
callibrate_0313_212621_PM_recal,"[0.026409970913664878, 0.21984964633978596]","[0.12365137957353986, 8.136362554470172e-09]",0.0167574028796522,1.3471891156017042
callibrate_0313_122616_PM_recal,"[0.46935627941667185, 2.4454549573275878e-118]","[0.5031970534686212, 1.6727218890841205e-138]",0.016729395753946656,1.8882442812741231
callibrate_0313_192040_PM_recal,"[-0.052849039245188564, 0.014007712544418497]","[-0.018893456505883942, 0.3800186523576891]",0.016772445652173913,1.547666075121536
callibrate_0315_173916_PM_recal,"[0.09402254229417221, 1.3026229257506239e-05]","[0.0392357669855606, 0.069376028752566]",0.01673218673218672,1.5029893801960637
callibrate_0313_201254_PM_recal,"[0.7998751347246222, 0.0]","[0.803122215700772, 0.0]",0.016730242705208637,1.2203306904291003
callibrate_0315_203039_PM_recal,"[0.6590627417418957, 1.0308917540588531e-267]","[0.6915760315788516, 2.2394087308691728e-305]",0.0167304193899782,1.6035254801113945
