Name,pearsonr,pearsonr_recal,ISI,precision
callibrate_0313_215644_PM_recal,"[0.19968858733197387, 7.264579597788441e-21]","[0.21896674005147027, 7.348775643567374e-25]",0.016759,1.768535
callibrate_0313_201254_PM_recal,"[0.7998751347246222, 0.0]","[0.803122215700772, 0.0]",0.01673,1.220331
callibrate_0310_115719_AM_recal,"[0.13493308608426602, 6.848784229549397e-10]","[0.1976662936273028, 1.0244489753151035e-19]",0.017306,0.657554
callibrate_0310_172629_PM_recal,"[0.2970417360104078, 3.2703689225689415e-45]","[0.18234011973696534, 1.3747090988568364e-17]",0.016771,2.018516
callibrate_0310_182652_PM_recal,"[0.6190648584060736, 4.592713341109306e-229]","[0.6048323539504991, 5.515957396826624e-216]",0.01673,1.75818
callibrate_0313_131653_PM_recal,"[0.2565738097340392, 7.125283493897241e-34]","[0.07193492885354069, 0.0008118201570296357]",0.016728,1.315538
callibrate_0313_151747_PM_recal,"[-0.674884017304886, 4.87196354180031e-285]","[-0.8254924772490134, 0.0]",0.016758,1.055564
callibrate_0311_205236_PM_recal,"[0.14322856227794573, 2.5809522147027552e-11]","[0.030629449138656645, 0.1558771458601901]",0.016727,1.63185
callibrate_0312_123108_PM_recal,"[-0.5021470519972142, 2.83490235656374e-137]","[-0.3287309107076574, 3.550552860672872e-55]",0.016752,1.679557
callibrate_0312_145033_PM_recal,"[0.39555612289125464, 7.965774197581268e-100]","[0.32823324789232133, 1.6779844662995385e-67]",0.01481,1.744737
callibrate_0312_153156_PM_recal,"[-0.12293420314357591, 1.1706405153317496e-08]","[0.4462351183445338, 3.508160807040813e-105]",0.016763,2.319956
callibrate_0313_192040_PM_recal,"[-0.052849039245188564, 0.014007712544418497]","[-0.018893456505883942, 0.3800186523576891]",0.016772,1.547666
callibrate_0313_122616_PM_recal,"[0.46935627941667185, 2.4454549573275878e-118]","[0.5031970534686212, 1.6727218890841205e-138]",0.016729,1.888244
callibrate_0313_212621_PM_recal,"[0.026409970913664878, 0.21984964633978596]","[0.12365137957353986, 8.136362554470172e-09]",0.0167574028796522,1.3471891156017042
callibrate_0308_145450_PM_recal,"[-0.14320168861293067, 2.6589675436000783e-11]","[-0.20130268417186253, 4.665840589097598e-21]",0.016769522510231914,1.7435906876662601
callibrate_0310_195059_PM_recal,"[0.01064030910340392, 0.6208100895291874]","[0.08338959385732415, 0.0001028749063899135]",0.016730548019533362,1.2527791597896747
callibrate_0313_084216_AM_recal,"[0.27342957255916644, 4.5055636263188056e-38]","[0.18762941377020342, 1.940101865418368e-18]",0.016762636462882077,1.396583228064695
callibrate_0312_193606_PM_recal,"[0.17774778691829213, 8.470531248261497e-17]","[0.14524717483714586, 1.16780589169547e-11]",0.016726953570458863,1.3835623626509506
